year,county,agency_name,jurisdiction_code,months_present,months_absent,total_calls,weapons_involved,sub_firearm,sub_knife,sub_other,sub_personal,weapon_not_rpt,total_strang_suffo,sub_strangulation,sub_suffocation,strangulation_months_with_data,known_partial_months,coverage_note,unit
2001,San Diego County,CA Highway Patrol - San Diego,3799,12,,0,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,CSU San Diego,3714,12,,4,2,0,0,1,1,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,CSU San Marcos,3732,12,,0,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Carlsbad,3701,12,,247,172,1,3,20,148,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Chula Vista,3702,12,,1972,1347,10,41,201,1095,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Colorado Desert DPR,3722,12,,2,2,0,0,0,2,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Coronado,3703,12,,64,37,0,1,1,35,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Del Mar,3704,12,,12,9,0,0,2,7,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,El Cajon,3705,12,,898,651,1,12,89,549,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Encinitas,37A4,12,,182,164,0,3,26,135,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Escondido,3706,12,,912,857,2,40,71,744,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Imperial Beach,3707,12,,205,153,0,9,19,125,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,La Mesa,3708,12,,359,320,0,9,44,267,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Lemon Grove,37A1,12,,118,110,0,5,15,90,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,National City,3709,12,,566,520,3,12,77,428,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Oceanside,3710,12,,1616,1229,10,34,208,977,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Ocotillo Wells DPR,3724,12,,0,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Poway,37A3,12,,133,110,2,4,9,95,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,San Diego,3711,12,,10694,8698,53,330,1673,6642,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,San Diego Co. Sheriff's Department,3700,12,,1704,1546,19,40,204,1283,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,San Diego Coast DPR,3725,12,,5,5,0,0,0,5,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,San Diego Harbor,3715,12,,2,2,0,0,0,2,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,San Marcos,3712,12,,208,160,0,3,21,136,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Santee,37A2,12,,288,259,1,3,41,214,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Solana Beach,37A5,12,,29,25,0,1,1,23,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,UC San Diego,3797,12,,12,8,0,0,1,7,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2001,San Diego County,Vista,3713,12,,561,541,5,11,62,463,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,CA Highway Patrol - San Diego,3799,12,,0,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,CSU San Diego,3714,12,,5,3,0,0,1,2,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,CSU San Marcos,3732,12,,0,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,Carlsbad,3701,12,,345,248,0,8,38,202,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,Chula Vista,3702,12,,1840,1314,14,48,214,1038,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,Colorado Desert DPR,3722,12,,3,3,0,0,0,3,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,Coronado,3703,12,,62,44,0,0,3,41,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,Del Mar,3704,12,,9,9,0,1,2,6,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,El Cajon,3705,12,,903,584,4,15,96,469,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,Encinitas,37A4,12,,203,187,1,5,35,146,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,Escondido,3706,12,,975,923,5,25,105,788,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
