year,month,year_month,county,reporting_entities_present,total_calls,weapons_involved,sub_firearm,sub_knife,sub_other,sub_personal,weapon_not_rpt,total_strang_suffo,sub_strangulation,sub_suffocation,documented_sheriff_partial_month
2001,1,2001-01,San Diego County,27,1633,1338,5,49,218,1066,0,,,,0
2001,2,2001-02,San Diego County,27,1392,1130,7,40,180,903,0,,,,0
2001,3,2001-03,San Diego County,27,1484,1197,7,37,203,950,0,,,,0
2001,4,2001-04,San Diego County,27,1651,1342,12,57,249,1024,0,,,,0
2001,5,2001-05,San Diego County,27,1736,1420,10,50,249,1111,0,,,,0
2001,6,2001-06,San Diego County,27,1828,1525,7,51,247,1220,0,,,,0
2001,7,2001-07,San Diego County,27,1977,1618,10,65,254,1289,0,,,,0
2001,8,2001-08,San Diego County,27,1916,1559,6,43,227,1283,0,,,,0
2001,9,2001-09,San Diego County,27,1607,1268,7,47,207,1007,0,,,,0
2001,10,2001-10,San Diego County,27,2008,1650,16,45,254,1335,0,,,,0
2001,11,2001-11,San Diego County,27,1710,1365,12,39,242,1072,0,,,,0
2001,12,2001-12,San Diego County,27,1851,1515,8,38,256,1213,0,,,,0
2002,1,2002-01,San Diego County,27,1711,1389,14,37,230,1108,0,,,,0
2002,2,2002-02,San Diego County,27,1548,1240,10,39,198,993,0,,,,0
2002,3,2002-03,San Diego County,27,1604,1274,8,40,228,998,0,,,,0
2002,4,2002-04,San Diego County,27,1833,1472,17,51,230,1174,0,,,,0
2002,5,2002-05,San Diego County,27,1712,1336,8,37,218,1073,0,,,,0
2002,6,2002-06,San Diego County,27,1865,1483,13,52,285,1133,0,,,,0
2002,7,2002-07,San Diego County,27,1924,1560,9,55,285,1211,0,,,,0
2002,8,2002-08,San Diego County,27,2017,1567,10,38,281,1238,0,,,,0
2002,9,2002-09,San Diego County,27,2095,1699,13,43,245,1398,0,,,,0
2002,10,2002-10,San Diego County,27,957,760,1,20,82,657,0,,,,0
2002,11,2002-11,San Diego County,27,1603,1263,12,35,215,1001,0,,,,0
2002,12,2002-12,San Diego County,27,2008,1604,13,56,230,1305,0,,,,0
2003,1,2003-01,San Diego County,27,1828,1465,8,38,209,1210,0,,,,0
2003,2,2003-02,San Diego County,27,1567,1217,7,41,178,991,0,,,,0
2003,3,2003-03,San Diego County,27,1581,1238,7,45,188,998,0,,,,0
2003,4,2003-04,San Diego County,27,1805,1423,12,34,265,1112,0,,,,0
2003,5,2003-05,San Diego County,27,1725,1351,5,46,213,1087,0,,,,0
2003,6,2003-06,San Diego County,27,1583,1204,8,34,185,977,0,,,,0
2003,7,2003-07,San Diego County,27,1909,1530,13,41,227,1249,0,,,,0
2003,8,2003-08,San Diego County,27,1898,1487,15,43,224,1205,0,,,,0
2003,9,2003-09,San Diego County,27,1960,1468,11,46,247,1164,0,,,,0
2003,10,2003-10,San Diego County,27,2036,1609,13,50,249,1297,0,,,,0
2003,11,2003-11,San Diego County,27,1740,1366,9,49,184,1124,0,,,,0
2003,12,2003-12,San Diego County,27,2125,1736,13,38,247,1438,0,,,,0
2004,1,2004-01,San Diego County,27,1919,1472,8,53,230,1181,0,,,,0
2004,2,2004-02,San Diego County,26,1604,1270,3,30,197,1040,0,,,,0
2004,3,2004-03,San Diego County,27,1816,1413,13,59,192,1149,0,,,,0
2004,4,2004-04,San Diego County,25,1715,1351,10,36,245,1060,0,,,,0
2004,5,2004-05,San Diego County,27,1826,1379,4,39,213,1123,0,,,,0
2004,6,2004-06,San Diego County,22,1875,1464,5,50,193,1216,0,,,,0
2004,7,2004-07,San Diego County,24,1932,1549,12,40,206,1291,0,,,,0
2004,8,2004-08,San Diego County,21,1986,1565,13,69,222,1261,0,,,,0
2004,9,2004-09,San Diego County,21,1634,1296,7,43,161,1085,0,,,,0
2004,10,2004-10,San Diego County,24,1756,1356,4,35,222,1095,0,,,,0
2004,11,2004-11,San Diego County,23,1526,1171,10,40,194,927,0,,,,0
2004,12,2004-12,San Diego County,21,1762,1405,9,52,210,1134,0,,,,0
2005,1,2005-01,San Diego County,25,1708,1292,7,36,198,1051,0,,,,0
2005,2,2005-02,San Diego County,25,1483,1138,5,28,142,963,0,,,,0
