county,ncic_jurisdiction_code,reporting_name,start_as_supplied,end_as_supplied
San Diego County,3700,San Diego Co. Sheriff's Department,,
San Diego County,3701,Carlsbad,,
San Diego County,3702,Chula Vista,,
San Diego County,3703,Coronado,,
San Diego County,3704,Del Mar,1/1/1997,
San Diego County,3705,El Cajon,,
San Diego County,3706,Escondido,,
San Diego County,3707,Imperial Beach,1/1/1997,
San Diego County,3708,La Mesa,,
San Diego County,3709,National City,,
San Diego County,3710,Oceanside,,
San Diego County,3711,San Diego,,
San Diego County,3712,San Marcos,1/1/1997,
San Diego County,3713,Vista,1/1/1997,
San Diego County,3714,CSU San Diego,,
San Diego County,3715,San Diego Harbor,1/1/1993,
San Diego County,3717,Santa Fe RR - San Diego,1/1/1981,5/31/1990
San Diego County,3718,Southern Pacific RR - San Diego,7/1/1981,4/30/1989
San Diego County,3722,Colorado Desert DPR,1/1/1985,
San Diego County,3723,Frontera DPR,1/1/1985,12/31/1992
San Diego County,3724,Ocotillo Wells DPR,1/1/1985,
San Diego County,3725,San Diego Coast DPR,1/1/1985,
San Diego County,3727,Montane DPR,1/1/1987,12/31/1992
San Diego County,3728,San Diego Community College,2023-01-01,
San Diego County,3732,CSU San Marcos,7/1/1993,
San Diego County,3797,UC San Diego,,
San Diego County,3798,CA State Police - San Diego,,6/30/1995
San Diego County,3799,CA Highway Patrol - San Diego,,
San Diego County,371A,ABC San Diego,1/1/2003,12/31/2003
San Diego County,372A,ABC San Marcos,1/1/2003,12/31/2003
San Diego County,37A1,Lemon Grove,1/1/1997,
San Diego County,37A2,Santee,1/1/1997,
San Diego County,37A3,Poway,1/1/1997,
San Diego County,37A4,Encinitas,1/1/1997,
San Diego County,37A5,Solana Beach,1/1/1997,
San Diego County,37A6,Mira Costa College,2022-09-01,
San Diego County,37A7,Palomar College,2025-07-01,
San Diego County,37A9,Cal Fire - San Diego,2023-01-01,
