month,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
2018-07,2044,188,60,243,3088,0.09197651663405088
2018-08,2178,161,42,198,3320,0.07392102846648302
2018-09,2139,175,37,207,3223,0.08181393174380551
2018-10,2057,151,42,187,3081,0.07340787554691298
2018-11,1837,153,42,190,2755,0.08328796951551443
2018-12,1836,160,32,190,2800,0.08714596949891068
2019-01,2008,173,46,214,3093,0.08615537848605578
2019-02,1752,142,25,164,2751,0.08105022831050228
2019-03,2167,160,34,191,3380,0.07383479464697738
2019-04,2061,150,36,182,3086,0.07278020378457059
2019-05,2094,150,31,176,3129,0.07163323782234957
2019-06,2102,178,39,206,3154,0.08468125594671741
2019-07,2255,179,44,218,3502,0.07937915742793791
2019-08,2322,167,38,202,3499,0.0719207579672696
2019-09,2207,164,58,214,3234,0.07430901676483914
2019-10,2132,168,27,192,3172,0.07879924953095685
2019-11,1778,145,26,169,2698,0.08155230596175478
2019-12,1844,171,36,203,2805,0.09273318872017354
2020-01,2156,161,58,212,3309,0.07467532467532467
2020-02,1991,151,45,195,2998,0.07584128578603717
2020-03,1461,156,29,183,2239,0.10677618069815195
2020-04,1083,132,30,159,1538,0.12188365650969529
2020-05,1346,151,48,193,2141,0.11218424962852898
2020-06,1268,142,40,176,1907,0.11198738170347003
2020-07,1435,154,31,181,2328,0.1073170731707317
2020-08,1621,168,34,199,2712,0.10363972856261566
2020-09,1616,154,34,185,2676,0.0952970297029703
2020-10,1677,158,45,197,2721,0.09421586165772212
2020-11,1516,141,31,168,2490,0.09300791556728233
2020-12,1418,170,41,206,2247,0.11988716502115655
2021-01,1534,169,33,197,2417,0.11016949152542373
2021-02,1433,123,34,153,2336,0.08583391486392185
2021-03,1593,153,46,193,2563,0.096045197740113
2021-04,1630,153,46,195,2620,0.09386503067484663
2021-05,1687,163,59,217,2687,0.09662122110254891
2021-06,1642,176,33,206,2565,0.1071863580998782
2021-07,1731,172,50,218,2701,0.09936452917388792
2021-08,1634,154,56,203,2600,0.09424724602203183
2021-09,1580,155,44,199,2463,0.0981012658227848
2021-10,1618,166,55,219,2556,0.10259579728059333
2021-11,1459,133,35,165,2317,0.09115832762165867
2021-12,1476,158,30,186,2333,0.1070460704607046
2022-01,1408,114,31,143,2232,0.08096590909090909
2022-02,1447,122,43,161,2267,0.08431237042156185
2022-03,1619,140,32,168,2577,0.08647313156269303
2022-04,1517,117,42,153,2386,0.07712590639419907
2022-05,1571,123,51,172,2571,0.07829408020369191
2022-06,1491,140,42,180,2316,0.09389671361502347
2022-07,1601,182,39,219,2423,0.1136789506558401
2022-08,1643,152,31,181,2514,0.09251369446135119
2022-09,1618,180,43,220,2392,0.11124845488257108
2022-10,1534,136,35,170,2401,0.08865710560625815
2022-11,1404,145,40,182,2161,0.10327635327635327
2022-12,1459,123,35,155,2375,0.08430431802604524
2023-01,1430,140,28,166,2247,0.0979020979020979
2023-02,1291,108,36,144,2015,0.08365608055770721
2023-03,1477,157,34,185,2314,0.10629654705484089
2023-04,1416,134,32,163,2199,0.09463276836158192
2023-05,1510,163,30,189,2364,0.10794701986754966
2023-06,1551,128,29,152,2465,0.08252740167633785
2023-07,1558,164,28,188,2441,0.10526315789473684
2023-08,1627,148,33,177,2413,0.09096496619545175
2023-09,1675,141,32,170,2624,0.08417910447761194
2023-10,1687,139,29,166,2630,0.08239478363959692
2023-11,1436,124,41,162,2284,0.08635097493036212
2023-12,1431,136,24,157,2301,0.09503843466107617
2024-01,1524,121,30,150,2559,0.07939632545931759
2024-02,1285,120,25,142,2181,0.0933852140077821
2024-03,1453,130,26,153,2450,0.08947006194081211
2024-04,1461,123,25,145,2416,0.08418891170431211
2024-05,1561,155,26,177,2647,0.09929532351057015
2024-06,1404,107,25,132,2200,0.07621082621082621
2024-07,1581,150,32,180,2600,0.09487666034155598
2024-08,1570,141,23,162,2524,0.08980891719745222
2024-09,1490,131,29,156,2551,0.08791946308724832
2024-10,1395,130,22,151,2264,0.0931899641577061
2024-11,1199,128,28,154,1878,0.1067556296914095
2024-12,1181,138,19,154,1921,0.11685012701100762
2025-01,42,4,2,6,71,0.09523809523809523
2025-02,31,0,1,1,41,0.0
2025-03,33,2,1,3,43,0.06060606060606061
2025-04,19,0,1,1,26,0.0
2025-05,12,0,0,0,17,0.0
2025-06,570,55,13,67,953,0.09649122807017543
2025-07,1353,126,25,149,2278,0.09312638580931264
2025-08,1289,161,26,184,2222,0.12490302560124127
2025-09,1266,144,20,163,2052,0.11374407582938388
2025-10,1284,141,23,160,2136,0.10981308411214953
2025-11,1195,160,15,171,2074,0.13389121338912133
2025-12,1175,107,17,124,2062,0.09106382978723404
MULTIPLE/CONFLICTING,121,0,2,2,429,0.0
