agency,source_rows,distinct_incidents,distinct_offense_ids,first_recorded_date,last_recorded_date
CARLSBAD,25942,20610,25188,2021-01-01,2026-09-21
CHULA VISTA,56623,42840,51663,2021-01-01,2026-09-21
EL CAJON,33449,25518,31777,2021-01-01,2026-09-21
ESCONDIDO,42976,34164,40806,2021-01-01,2026-09-23
HARBOR POLICE,8834,6895,8565,2021-01-01,2026-09-20
LA MESA,17411,13252,16470,2021-01-01,2026-09-21
NATIONAL CITY,19569,14978,17900,2021-01-01,2026-09-21
OCEANSIDE,52113,43320,50083,2021-01-01,2026-09-21
SAN DIEGO,360666,289931,329422,2021-01-01,2026-09-23
SHERIFF,174017,133003,165562,2021-01-01,2026-09-22
SYCUAN TRIBAL POLICE DEPARTMENT,160,138,160,2021-01-01,2021-08-31
