agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids
CARLSBAD,False,23907,18913,23161
CARLSBAD,True,2035,1697,2027
CHULA VISTA,False,48419,36589,43478
CHULA VISTA,True,8204,6251,8185
EL CAJON,False,28944,21956,27288
EL CAJON,True,4505,3562,4489
ESCONDIDO,False,38434,30370,36273
ESCONDIDO,True,4542,3794,4533
HARBOR POLICE,False,8313,6482,8048
HARBOR POLICE,True,521,413,517
LA MESA,False,15061,11329,14129
LA MESA,True,2350,1923,2341
NATIONAL CITY,False,17372,13326,15716
NATIONAL CITY,True,2197,1652,2184
OCEANSIDE,False,47751,39559,45737
OCEANSIDE,True,4362,3761,4346
SAN DIEGO,False,327859,261843,296822
SAN DIEGO,True,32807,28088,32600
SHERIFF,False,155178,117490,146780
SHERIFF,True,18839,15513,18782
SYCUAN TRIBAL POLICE DEPARTMENT,False,130,111,130
SYCUAN TRIBAL POLICE DEPARTMENT,True,30,27,30
