month,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids
2021-01,CARLSBAD,False,440,343,420
2021-01,CARLSBAD,True,28,25,27
2021-01,CHULA VISTA,False,880,664,796
2021-01,CHULA VISTA,True,113,93,112
2021-01,EL CAJON,False,565,422,536
2021-01,EL CAJON,True,84,72,84
2021-01,ESCONDIDO,False,755,574,691
2021-01,ESCONDIDO,True,73,62,73
2021-01,HARBOR POLICE,False,142,109,140
2021-01,HARBOR POLICE,True,9,9,9
2021-01,LA MESA,False,241,174,222
2021-01,LA MESA,True,32,28,32
2021-01,NATIONAL CITY,False,284,207,247
2021-01,NATIONAL CITY,True,36,25,36
2021-01,OCEANSIDE,False,893,739,860
2021-01,OCEANSIDE,True,53,51,53
2021-01,SAN DIEGO,False,5633,4490,5124
2021-01,SAN DIEGO,True,494,415,492
2021-01,SHERIFF,False,3078,2260,2876
2021-01,SHERIFF,True,334,281,333
2021-01,SYCUAN TRIBAL POLICE DEPARTMENT,False,25,17,25
2021-01,SYCUAN TRIBAL POLICE DEPARTMENT,True,7,6,7
2021-02,CARLSBAD,False,371,297,357
2021-02,CARLSBAD,True,25,22,25
2021-02,CHULA VISTA,False,844,632,768
2021-02,CHULA VISTA,True,96,72,96
2021-02,EL CAJON,False,475,368,438
2021-02,EL CAJON,True,66,52,65
2021-02,ESCONDIDO,False,596,465,555
2021-02,ESCONDIDO,True,55,48,55
2021-02,HARBOR POLICE,False,143,100,140
2021-02,HARBOR POLICE,True,15,10,15
2021-02,LA MESA,False,239,188,226
2021-02,LA MESA,True,26,21,26
2021-02,NATIONAL CITY,False,281,229,259
2021-02,NATIONAL CITY,True,32,23,32
2021-02,OCEANSIDE,False,852,691,817
2021-02,OCEANSIDE,True,74,56,73
2021-02,SAN DIEGO,False,5255,4136,4768
2021-02,SAN DIEGO,True,448,372,443
2021-02,SHERIFF,False,2518,1866,2383
2021-02,SHERIFF,True,303,246,301
2021-02,SYCUAN TRIBAL POLICE DEPARTMENT,False,22,18,22
2021-02,SYCUAN TRIBAL POLICE DEPARTMENT,True,1,1,1
2021-03,CARLSBAD,False,396,321,384
2021-03,CARLSBAD,True,34,24,34
2021-03,CHULA VISTA,False,771,570,679
2021-03,CHULA VISTA,True,98,83,98
2021-03,EL CAJON,False,466,350,443
2021-03,EL CAJON,True,72,56,70
2021-03,ESCONDIDO,False,699,528,644
2021-03,ESCONDIDO,True,69,60,69
2021-03,HARBOR POLICE,False,146,109,144
2021-03,HARBOR POLICE,True,9,8,9
2021-03,LA MESA,False,212,169,199
2021-03,LA MESA,True,30,23,30
2021-03,NATIONAL CITY,False,299,232,277
2021-03,NATIONAL CITY,True,37,28,37
2021-03,OCEANSIDE,False,862,719,838
2021-03,OCEANSIDE,True,76,61,75
2021-03,SAN DIEGO,False,5240,4155,4762
2021-03,SAN DIEGO,True,501,424,497
2021-03,SHERIFF,False,2692,2004,2542
2021-03,SHERIFF,True,337,273,336
2021-04,CARLSBAD,False,429,338,410
2021-04,CARLSBAD,True,23,20,23
2021-04,CHULA VISTA,False,763,566,690
2021-04,CHULA VISTA,True,106,83,106
2021-04,EL CAJON,False,435,321,407
2021-04,EL CAJON,True,79,62,79
2021-04,ESCONDIDO,False,599,480,558
2021-04,ESCONDIDO,True,47,44,47
2021-04,HARBOR POLICE,False,120,87,119
2021-04,HARBOR POLICE,True,15,11,15
2021-04,LA MESA,False,249,190,225
2021-04,LA MESA,True,31,25,31
2021-04,NATIONAL CITY,False,273,213,250
2021-04,NATIONAL CITY,True,34,23,34
2021-04,OCEANSIDE,False,783,638,742
2021-04,OCEANSIDE,True,63,53,63
2021-04,SAN DIEGO,False,5120,4059,4611
2021-04,SAN DIEGO,True,474,416,470
2021-04,SHERIFF,False,2832,2107,2673
2021-04,SHERIFF,True,386,292,385
2021-05,CARLSBAD,False,456,351,441
2021-05,CARLSBAD,True,42,32,41
2021-05,CHULA VISTA,False,791,558,714
2021-05,CHULA VISTA,True,118,96,118
2021-05,EL CAJON,False,472,358,445
2021-05,EL CAJON,True,61,48,60
2021-05,ESCONDIDO,False,598,468,551
2021-05,ESCONDIDO,True,68,62,68
2021-05,HARBOR POLICE,False,132,101,131
2021-05,HARBOR POLICE,True,25,13,25
2021-05,LA MESA,False,192,147,177
2021-05,LA MESA,True,53,44,53
2021-05,NATIONAL CITY,False,274,206,241
2021-05,NATIONAL CITY,True,48,40,48
2021-05,OCEANSIDE,False,832,688,793
2021-05,OCEANSIDE,True,77,68,77
2021-05,SAN DIEGO,False,5571,4362,5024
2021-05,SAN DIEGO,True,541,463,537
2021-05,SHERIFF,False,3083,2285,2905
2021-05,SHERIFF,True,432,322,427
2021-05,SYCUAN TRIBAL POLICE DEPARTMENT,False,24,24,24
2021-05,SYCUAN TRIBAL POLICE DEPARTMENT,True,7,6,7
2021-06,CARLSBAD,False,373,311,363
2021-06,CARLSBAD,True,22,15,22
2021-06,CHULA VISTA,False,711,542,644
2021-06,CHULA VISTA,True,118,104,118
2021-06,EL CAJON,False,469,355,434
2021-06,EL CAJON,True,70,65,70
2021-06,ESCONDIDO,False,607,480,560
2021-06,ESCONDIDO,True,90,77,90
