month,agency,offense_code,source_rows,distinct_incidents,distinct_offense_ids
2021-01,CARLSBAD,11A,2,2,2
2021-01,CARLSBAD,11D,1,1,1
2021-01,CARLSBAD,120,2,2,2
2021-01,CARLSBAD,13A,9,9,9
2021-01,CARLSBAD,13B,28,26,28
2021-01,CARLSBAD,13C,4,4,4
2021-01,CARLSBAD,200,7,7,7
2021-01,CARLSBAD,220,36,36,36
2021-01,CARLSBAD,23C,20,20,20
2021-01,CARLSBAD,23D,7,7,7
2021-01,CARLSBAD,23F,60,60,60
2021-01,CARLSBAD,23G,5,5,5
2021-01,CARLSBAD,23H,35,35,35
2021-01,CARLSBAD,240,44,23,23
2021-01,CARLSBAD,250,11,11,11
2021-01,CARLSBAD,26A,15,15,15
2021-01,CARLSBAD,26B,7,7,7
2021-01,CARLSBAD,26C,22,22,22
2021-01,CARLSBAD,26F,3,3,3
2021-01,CARLSBAD,280,14,14,14
2021-01,CARLSBAD,290,48,48,48
2021-01,CARLSBAD,35A,51,51,51
2021-01,CARLSBAD,35B,30,30,30
2021-01,CARLSBAD,520,7,7,7
2021-01,CHULA VISTA,09A,1,1,1
2021-01,CHULA VISTA,100,8,8,8
2021-01,CHULA VISTA,11A,4,4,4
2021-01,CHULA VISTA,11B,3,1,3
2021-01,CHULA VISTA,11C,1,1,1
2021-01,CHULA VISTA,11D,10,9,10
2021-01,CHULA VISTA,120,31,31,31
2021-01,CHULA VISTA,13A,42,38,42
2021-01,CHULA VISTA,13B,87,80,87
2021-01,CHULA VISTA,13C,16,12,16
2021-01,CHULA VISTA,200,3,3,3
2021-01,CHULA VISTA,210,1,1,1
2021-01,CHULA VISTA,220,36,36,36
2021-01,CHULA VISTA,23C,31,31,31
2021-01,CHULA VISTA,23D,21,21,21
2021-01,CHULA VISTA,23F,129,129,129
2021-01,CHULA VISTA,23G,22,22,22
2021-01,CHULA VISTA,23H,44,44,44
2021-01,CHULA VISTA,240,170,85,85
2021-01,CHULA VISTA,250,6,6,6
2021-01,CHULA VISTA,26A,17,17,17
2021-01,CHULA VISTA,26B,8,8,8
2021-01,CHULA VISTA,26C,33,33,33
2021-01,CHULA VISTA,26F,2,2,2
2021-01,CHULA VISTA,270,4,4,4
2021-01,CHULA VISTA,280,11,11,11
2021-01,CHULA VISTA,290,88,88,88
2021-01,CHULA VISTA,35A,74,74,74
2021-01,CHULA VISTA,35B,55,55,55
2021-01,CHULA VISTA,36B,1,1,1
2021-01,CHULA VISTA,40A,8,8,8
2021-01,CHULA VISTA,520,26,26,26
2021-01,EL CAJON,100,3,3,3
2021-01,EL CAJON,11A,4,4,4
2021-01,EL CAJON,11B,1,1,1
2021-01,EL CAJON,11C,1,1,1
2021-01,EL CAJON,11D,5,5,5
2021-01,EL CAJON,120,17,17,17
2021-01,EL CAJON,13A,33,27,33
2021-01,EL CAJON,13B,65,62,65
2021-01,EL CAJON,13C,9,8,9
2021-01,EL CAJON,220,29,29,29
2021-01,EL CAJON,23A,1,1,1
2021-01,EL CAJON,23B,3,3,3
2021-01,EL CAJON,23C,20,20,20
2021-01,EL CAJON,23D,1,1,1
2021-01,EL CAJON,23E,1,1,1
2021-01,EL CAJON,23F,77,77,77
2021-01,EL CAJON,23G,6,6,6
2021-01,EL CAJON,23H,24,24,24
2021-01,EL CAJON,240,58,29,29
2021-01,EL CAJON,250,2,2,2
2021-01,EL CAJON,26A,5,5,5
2021-01,EL CAJON,26B,2,2,2
2021-01,EL CAJON,26C,20,20,20
2021-01,EL CAJON,26F,1,1,1
2021-01,EL CAJON,280,15,15,15
2021-01,EL CAJON,290,66,66,66
2021-01,EL CAJON,35A,95,95,95
2021-01,EL CAJON,35B,61,61,61
2021-01,EL CAJON,520,24,24,24
2021-01,ESCONDIDO,100,5,5,5
2021-01,ESCONDIDO,11A,6,6,6
2021-01,ESCONDIDO,11D,13,13,13
2021-01,ESCONDIDO,120,16,16,16
2021-01,ESCONDIDO,13A,25,23,25
2021-01,ESCONDIDO,13B,70,69,70
2021-01,ESCONDIDO,13C,7,6,7
2021-01,ESCONDIDO,200,9,9,9
2021-01,ESCONDIDO,220,43,43,43
2021-01,ESCONDIDO,23C,27,27,27
2021-01,ESCONDIDO,23D,7,7,7
2021-01,ESCONDIDO,23F,72,72,72
2021-01,ESCONDIDO,23G,28,28,28
2021-01,ESCONDIDO,23H,51,51,51
2021-01,ESCONDIDO,240,128,64,64
2021-01,ESCONDIDO,250,4,4,4
2021-01,ESCONDIDO,26C,34,34,34
2021-01,ESCONDIDO,26F,1,1,1
2021-01,ESCONDIDO,280,17,17,17
2021-01,ESCONDIDO,290,55,55,55
2021-01,ESCONDIDO,35A,105,105,105
2021-01,ESCONDIDO,35B,83,83,83
2021-01,ESCONDIDO,370,1,1,1
2021-01,ESCONDIDO,40B,1,1,1
2021-01,ESCONDIDO,520,20,20,20
2021-01,HARBOR POLICE,100,1,1,1
2021-01,HARBOR POLICE,120,1,1,1
2021-01,HARBOR POLICE,13A,10,9,10
2021-01,HARBOR POLICE,13B,13,12,13
2021-01,HARBOR POLICE,13C,1,1,1
2021-01,HARBOR POLICE,200,1,1,1
2021-01,HARBOR POLICE,220,7,7,7
2021-01,HARBOR POLICE,23C,1,1,1
2021-01,HARBOR POLICE,23D,5,5,5
2021-01,HARBOR POLICE,23F,9,9,9
2021-01,HARBOR POLICE,23G,1,1,1
2021-01,HARBOR POLICE,23H,21,21,21
2021-01,HARBOR POLICE,240,4,2,2
2021-01,HARBOR POLICE,26B,2,2,2
2021-01,HARBOR POLICE,26C,5,5,5
2021-01,HARBOR POLICE,280,6,6,6
2021-01,HARBOR POLICE,290,17,17,17
2021-01,HARBOR POLICE,35A,22,22,22
2021-01,HARBOR POLICE,35B,15,15,15
2021-01,HARBOR POLICE,520,9,9,9
2021-01,LA MESA,11B,1,1,1
2021-01,LA MESA,120,1,1,1
2021-01,LA MESA,13A,18,12,18
2021-01,LA MESA,13B,38,35,38
2021-01,LA MESA,13C,2,2,2
2021-01,LA MESA,200,2,2,2
2021-01,LA MESA,220,19,19,19
2021-01,LA MESA,23B,1,1,1
2021-01,LA MESA,23C,11,11,11
2021-01,LA MESA,23D,2,2,2
2021-01,LA MESA,23F,41,41,41
2021-01,LA MESA,23G,6,6,6
2021-01,LA MESA,23H,14,14,14
2021-01,LA MESA,240,39,20,20
2021-01,LA MESA,250,4,4,4
2021-01,LA MESA,26A,4,4,4
2021-01,LA MESA,26C,20,20,20
2021-01,LA MESA,26F,2,2,2
2021-01,LA MESA,280,7,7,7
2021-01,LA MESA,290,19,19,19
2021-01,LA MESA,35A,11,11,11
2021-01,LA MESA,35B,8,8,8
2021-01,LA MESA,520,3,3,3
2021-01,NATIONAL CITY,100,3,3,3
2021-01,NATIONAL CITY,11A,2,2,2
2021-01,NATIONAL CITY,11D,2,2,2
2021-01,NATIONAL CITY,120,7,7,7
2021-01,NATIONAL CITY,13A,20,17,20
2021-01,NATIONAL CITY,13B,37,30,36
2021-01,NATIONAL CITY,13C,4,4,4
2021-01,NATIONAL CITY,200,2,2,2
2021-01,NATIONAL CITY,210,1,1,1
2021-01,NATIONAL CITY,220,9,9,9
2021-01,NATIONAL CITY,23C,5,5,5
2021-01,NATIONAL CITY,23D,4,4,4
2021-01,NATIONAL CITY,23F,22,22,22
2021-01,NATIONAL CITY,23G,1,1,1
2021-01,NATIONAL CITY,23H,22,22,22
2021-01,NATIONAL CITY,240,75,39,39
2021-01,NATIONAL CITY,26A,3,3,3
2021-01,NATIONAL CITY,26B,2,2,2
