agency,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers,first_recorded_date,last_recorded_date
CARLSBAD,4272,4189,4270,4270,2021-01-01,2026-09-21
CHULA VISTA,5658,5515,5647,5644,2021-01-01,2026-09-21
EL CAJON,5357,4712,5345,5332,2021-01-01,2026-09-22
ESCONDIDO,9550,9333,9550,9550,2021-01-01,2026-09-22
HARBOR POLICE,2073,2062,2073,2072,2021-01-01,2026-09-21
LA MESA,3151,3105,3149,3146,2021-01-01,2026-09-21
NATIONAL CITY,2538,2453,2531,2530,2021-01-01,2026-09-20
OCEANSIDE,6338,6266,6332,6330,2021-01-01,2026-09-22
SAN DIEGO,45455,44573,45371,45358,2021-01-01,2026-09-23
SHERIFF,27778,27257,27726,27725,2021-01-01,2026-09-22
