date,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2021-01-01,CARLSBAD,,1,1,1,1
2021-01-01,CHULA VISTA,,2,2,2,2
2021-01-01,EL CAJON,,3,3,3,3
2021-01-01,ESCONDIDO,,5,5,5,5
2021-01-01,HARBOR POLICE,,1,1,1,1
2021-01-01,LA MESA,,2,2,2,2
2021-01-01,NATIONAL CITY,,2,2,2,2
2021-01-01,OCEANSIDE,,1,1,1,1
2021-01-01,SAN DIEGO,,19,19,19,19
2021-01-01,SHERIFF,,7,7,7,7
2021-01-02,CARLSBAD,,2,2,2,2
2021-01-02,EL CAJON,,5,5,5,5
2021-01-02,ESCONDIDO,,3,3,3,3
2021-01-02,HARBOR POLICE,,1,1,1,1
2021-01-02,OCEANSIDE,,2,2,2,2
2021-01-02,SAN DIEGO,,11,11,11,11
2021-01-02,SHERIFF,,10,10,10,10
2021-01-03,CHULA VISTA,,5,5,5,5
2021-01-03,EL CAJON,,2,2,2,2
2021-01-03,ESCONDIDO,,4,3,4,4
2021-01-03,HARBOR POLICE,,1,1,1,1
2021-01-03,LA MESA,,1,1,1,1
2021-01-03,NATIONAL CITY,,1,1,1,1
2021-01-03,OCEANSIDE,,3,3,3,3
2021-01-03,SAN DIEGO,,19,17,19,19
2021-01-03,SHERIFF,,7,7,7,7
2021-01-04,CHULA VISTA,,1,1,1,1
2021-01-04,EL CAJON,,2,2,2,2
2021-01-04,ESCONDIDO,,1,1,1,1
2021-01-04,HARBOR POLICE,,1,1,1,1
2021-01-04,NATIONAL CITY,,1,1,1,1
2021-01-04,OCEANSIDE,,4,4,4,4
2021-01-04,SAN DIEGO,,11,11,11,11
2021-01-04,SHERIFF,,10,10,10,10
2021-01-05,CARLSBAD,,2,2,2,2
2021-01-05,CHULA VISTA,,1,1,1,1
2021-01-05,EL CAJON,,2,2,2,2
2021-01-05,ESCONDIDO,,2,2,2,2
2021-01-05,HARBOR POLICE,,1,1,1,1
2021-01-05,OCEANSIDE,,4,4,4,4
2021-01-05,SAN DIEGO,,19,19,19,19
2021-01-05,SHERIFF,,7,7,7,7
2021-01-06,CARLSBAD,,2,2,2,2
2021-01-06,CHULA VISTA,,1,1,1,1
2021-01-06,EL CAJON,,3,3,3,3
2021-01-06,ESCONDIDO,,4,4,4,4
2021-01-06,NATIONAL CITY,,3,3,3,3
2021-01-06,OCEANSIDE,,1,1,1,1
2021-01-06,SAN DIEGO,,14,14,14,14
2021-01-06,SHERIFF,,9,9,9,9
2021-01-07,CARLSBAD,,1,1,1,1
2021-01-07,EL CAJON,,2,2,2,2
2021-01-07,ESCONDIDO,,2,2,2,2
2021-01-07,OCEANSIDE,,5,4,5,5
