month,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2021-01,CARLSBAD,,61,58,61,61
2021-01,CHULA VISTA,,45,45,45,45
2021-01,EL CAJON,,52,52,52,52
2021-01,ESCONDIDO,,108,105,108,108
2021-01,HARBOR POLICE,,31,31,31,31
2021-01,LA MESA,,26,26,26,26
2021-01,NATIONAL CITY,,41,41,41,41
2021-01,OCEANSIDE,,79,77,79,79
2021-01,SAN DIEGO,,491,466,491,491
2021-01,SHERIFF,,315,310,315,315
2021-02,CARLSBAD,,65,65,65,65
2021-02,CHULA VISTA,,55,55,55,55
2021-02,EL CAJON,,60,57,60,60
2021-02,ESCONDIDO,,99,99,99,99
2021-02,HARBOR POLICE,,26,26,26,26
2021-02,LA MESA,,24,24,24,24
2021-02,NATIONAL CITY,,55,52,55,55
2021-02,OCEANSIDE,,82,79,82,82
2021-02,SAN DIEGO,,531,513,531,531
2021-02,SHERIFF,,290,288,290,290
2021-03,CARLSBAD,,43,43,43,43
2021-03,CHULA VISTA,,59,58,59,59
2021-03,EL CAJON,,66,65,66,66
2021-03,ESCONDIDO,,106,105,106,106
2021-03,HARBOR POLICE,,39,39,39,39
2021-03,LA MESA,,25,25,25,25
2021-03,NATIONAL CITY,,39,39,39,39
2021-03,OCEANSIDE,,103,103,103,103
2021-03,SAN DIEGO,,592,584,592,592
2021-03,SHERIFF,,360,360,360,360
2021-04,CARLSBAD,,65,63,65,65
2021-04,CHULA VISTA,,49,49,49,49
2021-04,EL CAJON,,60,58,60,60
2021-04,ESCONDIDO,,119,118,119,119
2021-04,HARBOR POLICE,,28,28,28,28
2021-04,LA MESA,,20,20,20,20
2021-04,NATIONAL CITY,,34,32,33,33
2021-04,OCEANSIDE,,102,100,102,102
2021-04,SAN DIEGO,,541,525,540,539
2021-04,SHERIFF,,344,343,344,344
2021-05,CARLSBAD,,73,71,73,73
2021-05,CHULA VISTA,,63,62,63,63
2021-05,EL CAJON,,42,42,42,42
2021-05,ESCONDIDO,,135,133,135,135
2021-05,HARBOR POLICE,,22,22,22,22
2021-05,LA MESA,,26,26,26,26
2021-05,NATIONAL CITY,,44,43,44,44
2021-05,OCEANSIDE,,87,86,87,87
2021-05,SAN DIEGO,,736,715,736,736
2021-05,SHERIFF,,371,368,371,371
2021-06,CARLSBAD,,63,63,63,63
2021-06,CHULA VISTA,,54,53,54,54
2021-06,EL CAJON,,70,66,70,70
2021-06,ESCONDIDO,,126,126,126,126
2021-06,HARBOR POLICE,,23,23,23,23
2021-06,LA MESA,,31,31,31,31
2021-06,NATIONAL CITY,,48,47,48,48
2021-06,OCEANSIDE,,77,77,77,77
2021-06,SAN DIEGO,,642,627,642,642
2021-06,SHERIFF,,329,325,329,329
2021-07,CARLSBAD,,66,65,66,66
2021-07,CHULA VISTA,,49,48,49,49
2021-07,EL CAJON,,55,54,55,55
2021-07,ESCONDIDO,,142,139,142,142
2021-07,HARBOR POLICE,,23,23,23,23
2021-07,LA MESA,,23,22,23,23
2021-07,NATIONAL CITY,,49,47,49,49
2021-07,OCEANSIDE,,77,77,77,77
2021-07,SAN DIEGO,,784,768,784,784
2021-07,SHERIFF,,409,402,408,407
2021-08,CARLSBAD,,64,63,64,64
2021-08,CHULA VISTA,,74,74,74,74
2021-08,EL CAJON,,52,51,52,51
2021-08,ESCONDIDO,,122,119,122,122
2021-08,HARBOR POLICE,,31,31,31,31
2021-08,LA MESA,,24,24,24,24
2021-08,NATIONAL CITY,,31,31,31,31
2021-08,OCEANSIDE,,111,109,111,111
2021-08,SAN DIEGO,,798,789,798,798
2021-08,SHERIFF,,397,386,397,396
2021-09,CARLSBAD,,55,55,55,55
2021-09,CHULA VISTA,,62,57,62,62
2021-09,EL CAJON,,59,58,59,59
2021-09,ESCONDIDO,,136,133,136,136
2021-09,HARBOR POLICE,,32,32,32,32
2021-09,LA MESA,,34,34,34,34
2021-09,NATIONAL CITY,,27,27,27,27
2021-09,OCEANSIDE,,91,91,91,91
2021-09,SAN DIEGO,,728,724,727,727
2021-09,SHERIFF,,373,365,373,373
2021-10,CARLSBAD,,72,69,72,72
2021-10,CHULA VISTA,,71,67,71,71
2021-10,EL CAJON,,97,77,97,97
2021-10,ESCONDIDO,,125,123,125,125
2021-10,HARBOR POLICE,,20,20,20,20
2021-10,LA MESA,,36,36,36,36
2021-10,NATIONAL CITY,,34,33,34,34
2021-10,OCEANSIDE,,84,84,84,84
2021-10,SAN DIEGO,,726,712,724,724
2021-10,SHERIFF,,386,376,384,384
2021-11,CARLSBAD,,95,90,95,95
2021-11,CHULA VISTA,,57,57,57,57
2021-11,EL CAJON,,83,76,83,83
2021-11,ESCONDIDO,,107,102,107,107
2021-11,HARBOR POLICE,,36,36,36,36
2021-11,LA MESA,,31,30,31,31
2021-11,NATIONAL CITY,,42,41,42,42
2021-11,OCEANSIDE,,79,75,78,78
2021-11,SAN DIEGO,,638,619,636,636
2021-11,SHERIFF,,364,350,363,361
2021-12,CARLSBAD,,69,67,69,69
2021-12,CHULA VISTA,,73,73,73,73
2021-12,EL CAJON,,49,47,49,49
2021-12,ESCONDIDO,,118,115,118,118
2021-12,HARBOR POLICE,,23,23,23,23
2021-12,LA MESA,,17,17,17,17
2021-12,NATIONAL CITY,,28,28,28,28
2021-12,OCEANSIDE,,83,80,83,83
2021-12,SAN DIEGO,,560,550,559,559
2021-12,SHERIFF,,421,409,421,421
2022-01,CARLSBAD,,55,54,55,55
2022-01,CHULA VISTA,,64,61,64,64
2022-01,EL CAJON,,48,46,47,47
2022-01,ESCONDIDO,,130,126,130,130
2022-01,HARBOR POLICE,,18,18,18,18
2022-01,LA MESA,,38,35,38,38
2022-01,NATIONAL CITY,,42,42,42,42
2022-01,OCEANSIDE,,97,97,97,97
2022-01,SAN DIEGO,,649,640,649,649
2022-01,SHERIFF,,374,361,374,374
2022-02,CARLSBAD,,53,51,53,53
2022-02,CHULA VISTA,,46,45,46,46
2022-02,EL CAJON,,54,50,53,53
2022-02,ESCONDIDO,,122,118,122,122
2022-02,HARBOR POLICE,,17,17,17,17
2022-02,LA MESA,,21,21,21,21
2022-02,NATIONAL CITY,,23,22,23,23
2022-02,OCEANSIDE,,69,68,69,69
2022-02,SAN DIEGO,,596,589,596,596
2022-02,SHERIFF,,348,343,347,347
2022-03,CARLSBAD,,65,65,65,65
2022-03,CHULA VISTA,,68,68,68,68
2022-03,EL CAJON,,68,64,68,68
2022-03,ESCONDIDO,,154,151,154,154
2022-03,HARBOR POLICE,,20,20,20,20
2022-03,LA MESA,,31,30,31,31
2022-03,NATIONAL CITY,,35,33,34,34
2022-03,OCEANSIDE,,93,90,93,93
2022-03,SAN DIEGO,,800,784,798,798
2022-03,SHERIFF,,427,418,426,426
2022-04,CARLSBAD,,68,68,68,68
2022-04,CHULA VISTA,,71,70,71,71
2022-04,EL CAJON,,75,71,75,75
2022-04,ESCONDIDO,,128,127,128,128
2022-04,HARBOR POLICE,,15,15,15,15
2022-04,LA MESA,,27,26,27,27
2022-04,NATIONAL CITY,,32,32,32,32
2022-04,OCEANSIDE,,114,114,114,114
2022-04,SAN DIEGO,,736,720,735,735
2022-04,SHERIFF,,410,402,410,409
2022-05,CARLSBAD,,70,69,70,70
2022-05,CHULA VISTA,,72,71,72,72
2022-05,EL CAJON,,46,45,45,45
2022-05,ESCONDIDO,,127,125,127,127
2022-05,HARBOR POLICE,,15,15,15,15
2022-05,LA MESA,,22,22,22,22
2022-05,NATIONAL CITY,,27,27,27,27
2022-05,OCEANSIDE,,98,98,98,98
2022-05,SAN DIEGO,,709,698,709,709
2022-05,SHERIFF,,399,390,399,399
2022-06,CARLSBAD,,62,61,62,62
