month,agency,offense_code,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2021-01,CARLSBAD,90B,1,1,1,1
2021-01,CARLSBAD,90C,22,21,22,22
2021-01,CARLSBAD,90D,29,28,29,29
2021-01,CARLSBAD,90J,6,6,6,6
2021-01,CARLSBAD,90Z,3,3,3,3
2021-01,CHULA VISTA,90C,8,8,8,8
2021-01,CHULA VISTA,90D,23,23,23,23
2021-01,CHULA VISTA,90J,3,3,3,3
2021-01,CHULA VISTA,90Z,11,11,11,11
2021-01,EL CAJON,90B,2,2,2,2
2021-01,EL CAJON,90C,25,25,25,25
2021-01,EL CAJON,90D,8,8,8,8
2021-01,EL CAJON,90Z,17,17,17,17
2021-01,ESCONDIDO,90C,44,44,44,44
2021-01,ESCONDIDO,90D,36,36,36,36
2021-01,ESCONDIDO,90J,2,2,2,2
2021-01,ESCONDIDO,90Z,26,24,26,26
2021-01,HARBOR POLICE,90C,17,17,17,17
2021-01,HARBOR POLICE,90D,9,9,9,9
2021-01,HARBOR POLICE,90J,2,2,2,2
2021-01,HARBOR POLICE,90Z,3,3,3,3
2021-01,LA MESA,90C,11,11,11,11
2021-01,LA MESA,90D,6,6,6,6
2021-01,LA MESA,90Z,9,9,9,9
2021-01,NATIONAL CITY,90C,23,23,23,23
2021-01,NATIONAL CITY,90D,12,12,12,12
2021-01,NATIONAL CITY,90Z,6,6,6,6
2021-01,OCEANSIDE,90B,1,1,1,1
2021-01,OCEANSIDE,90C,34,33,34,34
2021-01,OCEANSIDE,90D,22,22,22,22
2021-01,OCEANSIDE,90J,5,4,5,5
2021-01,OCEANSIDE,90Z,17,17,17,17
2021-01,SAN DIEGO,90B,24,14,24,24
2021-01,SAN DIEGO,90C,127,125,127,127
2021-01,SAN DIEGO,90D,99,99,99,99
2021-01,SAN DIEGO,90J,34,26,34,34
2021-01,SAN DIEGO,90Z,207,202,207,207
2021-01,SHERIFF,90C,114,110,114,114
2021-01,SHERIFF,90D,59,59,59,59
2021-01,SHERIFF,90J,4,4,4,4
2021-01,SHERIFF,90Z,138,137,138,138
2021-02,CARLSBAD,90C,24,24,24,24
2021-02,CARLSBAD,90D,27,27,27,27
2021-02,CARLSBAD,90J,4,4,4,4
2021-02,CARLSBAD,90Z,10,10,10,10
2021-02,CHULA VISTA,90C,10,10,10,10
2021-02,CHULA VISTA,90D,26,26,26,26
2021-02,CHULA VISTA,90J,5,5,5,5
2021-02,CHULA VISTA,90Z,14,14,14,14
2021-02,EL CAJON,90B,6,3,6,6
2021-02,EL CAJON,90C,31,31,31,31
2021-02,EL CAJON,90D,9,9,9,9
2021-02,EL CAJON,90Z,14,14,14,14
2021-02,ESCONDIDO,90C,23,23,23,23
2021-02,ESCONDIDO,90D,42,42,42,42
2021-02,ESCONDIDO,90Z,34,34,34,34
2021-02,HARBOR POLICE,90C,13,13,13,13
2021-02,HARBOR POLICE,90D,5,5,5,5
2021-02,HARBOR POLICE,90J,4,4,4,4
2021-02,HARBOR POLICE,90Z,4,4,4,4
2021-02,LA MESA,90C,6,6,6,6
2021-02,LA MESA,90D,7,7,7,7
2021-02,LA MESA,90J,1,1,1,1
2021-02,LA MESA,90Z,10,10,10,10
2021-02,NATIONAL CITY,90B,1,1,1,1
2021-02,NATIONAL CITY,90C,16,16,16,16
2021-02,NATIONAL CITY,90D,27,26,27,27
2021-02,NATIONAL CITY,90J,1,1,1,1
2021-02,NATIONAL CITY,90Z,10,8,10,10
2021-02,OCEANSIDE,90B,6,4,6,6
2021-02,OCEANSIDE,90C,29,29,29,29
2021-02,OCEANSIDE,90D,19,19,19,19
2021-02,OCEANSIDE,90J,1,1,1,1
2021-02,OCEANSIDE,90Z,27,26,27,27
2021-02,SAN DIEGO,90B,19,17,19,19
2021-02,SAN DIEGO,90C,158,156,158,158
2021-02,SAN DIEGO,90D,103,103,103,103
2021-02,SAN DIEGO,90G,2,2,2,2
2021-02,SAN DIEGO,90J,26,12,26,26
2021-02,SAN DIEGO,90Z,223,223,223,223
2021-02,SHERIFF,90C,104,104,104,104
2021-02,SHERIFF,90D,51,51,51,51
2021-02,SHERIFF,90J,10,9,10,10
2021-02,SHERIFF,90Z,125,124,125,125
2021-03,CARLSBAD,90C,16,16,16,16
2021-03,CARLSBAD,90D,22,22,22,22
2021-03,CARLSBAD,90Z,5,5,5,5
2021-03,CHULA VISTA,90C,4,4,4,4
2021-03,CHULA VISTA,90D,22,22,22,22
2021-03,CHULA VISTA,90G,1,1,1,1
2021-03,CHULA VISTA,90J,6,5,6,6
2021-03,CHULA VISTA,90Z,26,26,26,26
2021-03,EL CAJON,90B,4,3,4,4
2021-03,EL CAJON,90C,26,26,26,26
2021-03,EL CAJON,90D,13,13,13,13
2021-03,EL CAJON,90J,1,1,1,1
2021-03,EL CAJON,90Z,22,22,22,22
2021-03,ESCONDIDO,90C,33,33,33,33
2021-03,ESCONDIDO,90D,41,40,41,41
2021-03,ESCONDIDO,90J,1,1,1,1
2021-03,ESCONDIDO,90Z,31,31,31,31
2021-03,HARBOR POLICE,90C,15,15,15,15
2021-03,HARBOR POLICE,90D,4,4,4,4
2021-03,HARBOR POLICE,90J,16,16,16,16
2021-03,HARBOR POLICE,90Z,4,4,4,4
2021-03,LA MESA,90C,16,16,16,16
2021-03,LA MESA,90D,7,7,7,7
2021-03,LA MESA,90Z,2,2,2,2
2021-03,NATIONAL CITY,90B,1,1,1,1
2021-03,NATIONAL CITY,90C,14,14,14,14
2021-03,NATIONAL CITY,90D,15,15,15,15
2021-03,NATIONAL CITY,90J,6,6,6,6
2021-03,NATIONAL CITY,90Z,3,3,3,3
2021-03,OCEANSIDE,90C,45,45,45,45
2021-03,OCEANSIDE,90D,30,30,30,30
2021-03,OCEANSIDE,90G,2,2,2,2
2021-03,OCEANSIDE,90J,4,4,4,4
2021-03,OCEANSIDE,90Z,22,22,22,22
2021-03,SAN DIEGO,90B,8,8,8,8
2021-03,SAN DIEGO,90C,183,181,183,183
2021-03,SAN DIEGO,90D,141,141,141,141
2021-03,SAN DIEGO,90G,1,1,1,1
2021-03,SAN DIEGO,90J,28,26,28,28
2021-03,SAN DIEGO,90Z,231,227,231,231
2021-03,SHERIFF,90B,1,1,1,1
2021-03,SHERIFF,90C,112,112,112,112
2021-03,SHERIFF,90D,78,78,78,78
2021-03,SHERIFF,90G,4,4,4,4
2021-03,SHERIFF,90J,4,4,4,4
2021-03,SHERIFF,90Z,161,161,161,161
2021-04,CARLSBAD,90C,19,19,19,19
2021-04,CARLSBAD,90D,37,36,37,37
2021-04,CARLSBAD,90J,4,3,4,4
2021-04,CARLSBAD,90Z,5,5,5,5
