nibrs_code,description,category,offense_definition,crime_against_category,group,notes
09A,Murder and Nonnegligent Manslaughter,Homicide Offenses,"The willful (nonnegligent) killing of one human being by another.  Agencies should classify in this category any death due to injuries received in a fight, argument, quarrel, assault, or commission of a crime. Agencies should not classify suicides, traffic fatalities (including those involving driving under the influence), fetal deaths, assaults to murder, attempted murders, or accidental deaths as murder and nonnegligent manslaughter.",Persons,A,"Mutually Exclusive (meaning cannot be reported with the other offense codes listed here for the same vicitm): 09B = Negligent Manslaughter
Lesser Included (meaning these crimes listed below are elements of this crime and cannot be reported with the other offense codes listed here for the same vicitm): 13A = Aggravated Assault, 13B = Simple Assault, and    13C = Intimidation"
09B,Negligent Manslaughter,Homicide Offenses,"The killing of another person through gross negligence.
Killings resulting from hunting accidents, gun cleaning, children playing with guns, and traffic accidents associated with driving under the influence, distracted driving (using a cell/smartphone), and reckless driving traffic fatalities.",Persons,A,"Mutually Exclusive: 09A = Murder & Nonnegligent Manslaughter, 13A = Aggravated Assault, 13B = Simple Assault, and 13C = Intimidation"
09C,Justifiable Homicide,Homicide Offenses,"The killing of a perpetrator of a serious criminal offense by a law enforcement officer in the line of duty, or the killing, during the commission of a serious criminal offense, of the offender by a private individual.",Persons,A,
100,Kidnapping/Abduction,Kidnapping/Abduction,"The unlawful seizure, transportation, and/or detention of a person against his/her will or of a minor without the consent of his/her custodial parent(s) or legal guardian.",Persons,A,
11A,Forcible Rape,"Sex Offenses, Forcible","The carnal knowledge of a person, without the consent of the victim, including instances where the victim is unable to give consent because of his/her age or because of his/her
temporary or permanent mental or physical incapacity.  For UCR purposes, this offense includes the rape of both males and females if at least one of the offenders is the opposite sex of the victim.",Persons,A,"11A – 11D Sex Offenses: Any sexual act directed against another person, without the consent of the victim, including instances where the victim is incapable of giving consent.                                                                                                                          Mutually Exclusive: 36A = Incest and 36B = Statutory Rape
Lesser Included: 13A = Aggravated Assault, 13B = Simple Assault, 13C = Intimidation,
and 11D = Fondling"
11B,Forcible Sodomy,"Sex Offenses, Forcible","Oral or anal sexual intercourse with another person, without the consent of the victim, including instances where the victim is unable to give consent because of his/her age or because of his/her temporary or permanent mental or physical incapacity. If the offender both raped and sodomized the victim in one incident, then LEAs should report both offenses.",Persons,A,"Mutually Exclusive: 36A = Incest and 36B = Statutory Rape
Lesser Included: 13A = Aggravated Assault, 13B = Simple Assault, 13C = Intimidation,
and 11D = Fondling"
11C,Sexual Assault with an Object,"Sex Offenses, Forcible","To use an object or instrument to unlawfully penetrate, however slightly, the genital or anal opening of the body of another person, without the consent of the victim, including instances
where the victim is unable to give consent because of his/her age or because of his/her temporary or permanent mental or physical incapacity. An “object” or “instrument” is anything used by the offender other than the offender’s genitalia, e.g., a finger, bottle, handgun, stick.",Persons,A,"Mutually Exclusive: 36A = Incest and 36B = Statutory Rape
Lesser Included: 13A = Aggravated Assault, 13B = Simple Assault, 13C = Intimidation,
and 11D = Fondling"
11D,Forcible Fondling,"Sex Offenses, Forcible","The touching of the private body parts of another person for the purpose of sexual gratification, without the consent of the victim, including instances where the victim is unable to give consent because of his/her age or because of his/her temporary or permanent mental or physical incapacity.",Persons,A,"Mutually Exclusive: 36A = Incest and 36B = Statutory Rape
Lesser Included: 13B = Simple Assault and 13C = Intimidation
06/15/2020 2019.2.1 NIBRS Technical Specification 83
Note: Fondling is a lesser included offense of rape, sodomy, and sexual assault with an object."
120,Robbery,Robbery,"The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm. Robbery involves the offender taking or attempting to take something of value from a victim,
usually the property owner or custodian, by the use of force or threat of force. (The victim must be present.) If there is no direct confrontation and the victim is not in fear of immediate harm,
LE should report Extortion. Though direct confrontation occurs in Pocket-pickings or Pursesnatchings, force or threat of force is absent. However, if during a Purse-snatching or other
such crime, the offender uses force or threat of force to overcome the active resistance of the victim, LE should classify the offense as Robbery.",Property,A,"Lesser Included: 13A = Aggravated Assault, 13B = Simple Assault, 13C = Intimidation, 23A – 23H = Larceny/Theft Offenses, and 240 = Motor Vehicle Theft"
13A,Aggravated Assault,Assault Offenses,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure. Injuries include but are not limited to apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of
consciousness.",Persons,A,"13A − 13C Assault Offenses
An unlawful attack by one person upon another.
Careful consideration of the following factors should assist in classifying assaults:
1. The type of weapon employed or the use of an object as a weapon.
2. The seriousness of the injury.
3. The intent and capability of the assailant to cause serious injury.
The weapons used or the extent of the injury sustained typically will be the deciding factors in distinguishing Aggravated from Simple Assault. A weapon can be a gun, knife or anything that could be used to harm someone else (a broken glass bottle, rocks, a shoe, etc.) In only a very limited number of instances should it be necessary to examine the intent and capability of the assailant. The prosecution policies in a jurisdiction should not influence classification or reporting of LE offense data. Reporting agencies should examine and classify the assaults in
their respective jurisdictions according to the standard UCR definitions, regardless of whether the offenses are termed misdemeanors or felonies by local definitions.
By definition there can be no attempted assaults, only completed assaults.                    Lesser Included: 13B = Simple Assault and 13C = Intimidation
Note: Aggravated assault is a lesser included offense of murder, rape, sodomy, sexual assault with an object, and robbery."
13B,Simple Assault,Assault Offenses,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Persons,A,"Lesser Included: 13C = Intimidation
Note: Simple assault is a lesser included offense of murder, aggravated assault, rape, sodomy, sexual assault with an object, fondling, and robbery."
13C,Intimidation,Assault Offenses,"To unlawfully place another person in reasonable fear of harm through the use of threatening words and/or other conduct without displaying a dangerous weapon or subjecting the victim
to an actual physical attack. This offense includes stalking. In addition, the offender can make threats in person, over the
telephone, or in writing.",Persons,A,
200,Arson,Arson,To unlawfully and intentionally damage or attempt to damage any real or personal property of another person or entity by fire or incendiary device.,Property,A,
210,Extortion/Blackmail,Extortion/Blackmail,"To unlawfully obtain money, property, or any other thing of value, either tangible or intangible, through the use or threat of force, misuse of authority, threat of criminal prosecution, threat of destruction of reputation or social standing, or through other coercive means.",Property,A,
220,Burglary/Breaking & Entering,Burglary/Breaking & Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Property,A,
23A,Pocket-Picking,Larceny/Theft Offenses,"The theft of articles from another person’s physical possession by stealth where the victim is not immediately aware a theft occurred. If the offender manhandled the victim in any way or used force beyond simple jostling to overcome the victim’s resistance, the agency must classify the offense as a Strong-Arm
Robbery. This type of theft includes removal of such items as wallets from women’s purses and men’s pockets and usually occurs in a crowded area or on public transportation to disguise the activity. Agencies should also classify a theft from a person in an unconscious state, including an individual who is drunk, as Pocket-picking.",Property,A,"23A – 23H Larceny/Theft Offenses
The unlawful taking, carrying, leading, or riding away of property from the possession or constructive possession of another person.
Larceny and Theft mean the same thing in the UCR Program. Local offense classifications such as grand theft, petty larceny, felony larceny, or misdemeanor larceny have no bearing on the fact that LEAs should report one offense for each distinct operation of such larcenies for UCR purposes, regardless of the value of the property stolen. When multiple types of Larceny/Theft occur within a single incident, agencies should report all types of Larceny/Theft involved. LEAs should report multiple Larceny/Theft offenses because these offenses are not inherent.
For example, if an individual stole a factory-installed radio valued at $600 and a laptop computer valued at $1,500 from a motor vehicle in the same incident, the agency should report both offenses—Theft of Motor Vehicle Parts or Accessories for the radio and a Theft From Motor Vehicle for the laptop."
23B,Purse-Snatching,Larceny/Theft Offenses,"The grabbing or snatching of a purse, handbag, etc., from the physical possession of another person. If the offender used more force than was actually necessary to snatch the purse from the grasp of the victim, or if the victim resists the theft in any way, then classify the incident as a StrongArm Robbery.
If the victim left a purse or other item of value unattended in a location which was open to the general public and the item was subsequently stolen, the agency should classify the incident as
23D = Theft From Building, 23F = Theft From Motor Vehicle, or other appropriate Larceny category and not as a 23B = Purse-snatching. Purse-Snatching only applies when the victim has
physical possession of the item (i.e., it is on the victim’s person).",Property,A,
23C,Shoplifting,Larceny/Theft Offenses,"The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee). This violation assumes the offender had legal access to the premises, and thus, no trespass or unlawful entry was involved. This offense includes thefts of merchandise displayed as part of the stock in trade outside of buildings such as department stores, hardware stores,
supermarkets, and fruit stands.",Property,A,
