date,group_type,crime_against,source_rows,distinct_nibrs_offense_ids,distinct_case_numbers
2021-01-01,A,PE,78,78,68
2021-01-01,A,PR,162,162,155
2021-01-01,A,SO,21,21,16
2021-01-01,B,,48,48,48
2021-01-01,B,SO,18,18,18
2021-01-02,A,PE,30,30,23
2021-01-02,A,PR,124,124,116
2021-01-02,A,SO,19,19,15
2021-01-02,B,,39,39,39
2021-01-02,B,SO,5,5,5
2021-01-03,A,PE,45,45,39
2021-01-03,A,PR,120,120,115
2021-01-03,A,SO,26,26,20
2021-01-03,B,,42,42,42
2021-01-03,B,SO,14,14,14
2021-01-04,A,PE,39,39,36
2021-01-04,A,PR,128,128,122
2021-01-04,A,SO,19,19,18
2021-01-04,B,,49,49,49
2021-01-04,B,SO,5,5,5
2021-01-05,A,PE,23,23,21
2021-01-05,A,PR,115,115,108
2021-01-05,A,SO,30,30,20
2021-01-05,B,,66,66,66
2021-01-05,B,SO,10,10,10
2021-01-06,A,PE,19,19,19
2021-01-06,A,PR,120,120,111
2021-01-06,A,SO,26,26,17
2021-01-06,B,,47,47,47
2021-01-06,B,SO,8,8,7
2021-01-07,A,PE,30,30,24
2021-01-07,A,PR,144,144,129
2021-01-07,A,SO,32,32,24
2021-01-07,B,,51,51,51
2021-01-07,B,SO,7,7,7
2021-01-08,A,PE,23,23,22
2021-01-08,A,PR,125,125,118
2021-01-08,A,SO,37,37,25
2021-01-08,B,,46,46,46
2021-01-08,B,SO,8,8,8
2021-01-09,A,PE,45,45,37
2021-01-09,A,PR,136,136,126
2021-01-09,A,SO,15,15,14
2021-01-09,B,,39,39,39
2021-01-09,B,SO,17,17,17
2021-01-10,A,PE,27,27,25
2021-01-10,A,PR,135,135,128
2021-01-10,A,SO,17,17,13
2021-01-10,B,,36,36,36
2021-01-10,B,SO,5,5,5
2021-01-11,A,PE,32,32,27
2021-01-11,A,PR,130,130,120
2021-01-11,A,SO,35,35,27
2021-01-11,B,,53,53,53
2021-01-11,B,SO,6,6,5
2021-01-12,A,PE,32,32,30
2021-01-12,A,PR,114,114,107
2021-01-12,A,SO,23,23,20
2021-01-12,B,,47,47,47
2021-01-12,B,SO,10,10,10
2021-01-13,A,PE,29,29,23
2021-01-13,A,PR,131,131,119
2021-01-13,A,SO,31,31,23
2021-01-13,B,,61,61,61
2021-01-13,B,SO,9,9,9
2021-01-14,A,PE,48,48,42
2021-01-14,A,PR,139,139,133
2021-01-14,A,SO,29,29,21
2021-01-14,B,,56,56,56
2021-01-14,B,SO,9,9,9
2021-01-15,A,PE,34,34,31
2021-01-15,A,PR,111,111,105
2021-01-15,A,SO,27,27,19
2021-01-15,B,,50,50,50
2021-01-15,B,SO,13,13,13
2021-01-16,A,PE,31,31,30
2021-01-16,A,PR,122,122,114
2021-01-16,A,SO,34,34,25
2021-01-16,B,,40,40,40
2021-01-16,B,SO,14,14,14
2021-01-17,A,PE,55,55,45
2021-01-17,A,PR,117,117,108
2021-01-17,A,SO,18,18,13
2021-01-17,B,,47,47,47
2021-01-17,B,SO,14,14,14
2021-01-18,A,PE,33,33,29
2021-01-18,A,PR,120,120,114
2021-01-18,A,SO,27,27,22
2021-01-18,B,,40,40,40
2021-01-18,B,SO,14,14,14
2021-01-19,A,PE,27,27,26
2021-01-19,A,PR,131,131,117
2021-01-19,A,SO,34,34,25
2021-01-19,B,,48,48,48
2021-01-19,B,SO,10,10,10
2021-01-20,A,PE,27,27,25
2021-01-20,A,PR,122,122,115
2021-01-20,A,SO,19,19,14
2021-01-20,B,,52,52,52
2021-01-20,B,SO,6,6,6
2021-01-21,A,PE,33,33,30
2021-01-21,A,PR,123,123,111
2021-01-21,A,SO,34,34,26
2021-01-21,B,,54,54,54
2021-01-21,B,SO,14,14,14
2021-01-22,A,PE,27,27,19
2021-01-22,A,PR,149,149,136
2021-01-22,A,SO,33,33,25
2021-01-22,B,,38,38,38
2021-01-22,B,SO,18,18,18
2021-01-23,A,PE,23,23,22
2021-01-23,A,PR,99,99,91
2021-01-23,A,SO,17,17,16
2021-01-23,B,,46,46,46
2021-01-23,B,SO,15,15,15
2021-01-24,A,PE,39,39,34
2021-01-24,A,PR,95,95,85
2021-01-24,A,SO,17,17,13
2021-01-24,B,,39,39,39
2021-01-24,B,SO,7,7,7
2021-01-25,A,PE,29,29,25
2021-01-25,A,PR,137,137,128
2021-01-25,A,SO,21,21,16
2021-01-25,B,,48,48,48
2021-01-25,B,SO,7,7,7
2021-01-26,A,PE,23,23,21
2021-01-26,A,PR,112,112,103
2021-01-26,A,SO,29,29,23
2021-01-26,B,,46,46,46
2021-01-26,B,SO,4,4,4
2021-01-27,A,PE,25,25,24
2021-01-27,A,PR,114,114,100
2021-01-27,A,SO,38,38,29
2021-01-27,B,,66,66,66
2021-01-27,B,SO,10,10,10
2021-01-28,A,PE,32,32,30
2021-01-28,A,PR,106,106,104
2021-01-28,A,SO,36,36,31
2021-01-28,B,,48,48,48
2021-01-28,B,SO,10,10,10
2021-01-29,A,PE,42,42,37
2021-01-29,A,PR,109,109,102
2021-01-29,A,SO,18,18,14
2021-01-29,B,,46,46,46
2021-01-29,B,SO,15,15,15
2021-01-30,A,PE,46,46,39
2021-01-30,A,PR,97,97,94
2021-01-30,A,SO,27,27,18
2021-01-30,B,,46,46,46
2021-01-30,B,SO,10,10,10
2021-01-31,A,PE,49,49,39
2021-01-31,A,PR,118,118,109
2021-01-31,A,SO,22,22,16
2021-01-31,B,,31,31,31
2021-01-31,B,SO,14,14,14
2021-02-01,A,PE,37,37,35
2021-02-01,A,PR,149,149,139
2021-02-01,A,SO,25,25,18
2021-02-01,B,,43,43,43
2021-02-01,B,SO,8,8,8
2021-02-02,A,PE,46,46,38
2021-02-02,A,PR,110,110,100
2021-02-02,A,SO,27,27,22
2021-02-02,B,,52,52,52
2021-02-02,B,SO,12,12,12
2021-02-03,A,PE,22,22,18
2021-02-03,A,PR,130,130,119
2021-02-03,A,SO,19,19,14
2021-02-03,B,,68,68,68
2021-02-03,B,SO,11,11,11
2021-02-04,A,PE,30,30,27
2021-02-04,A,PR,135,135,129
2021-02-04,A,SO,35,35,27
2021-02-04,B,,49,49,49
2021-02-04,B,SO,12,12,12
2021-02-05,A,PE,24,24,23
2021-02-05,A,PR,127,127,118
2021-02-05,A,SO,31,31,22
2021-02-05,B,,51,51,51
2021-02-05,B,SO,8,8,7
2021-02-06,A,PE,45,45,40
2021-02-06,A,PR,132,132,124
2021-02-06,A,SO,28,28,21
2021-02-06,B,,44,44,44
2021-02-06,B,SO,14,14,14
2021-02-07,A,PE,43,43,38
2021-02-07,A,PR,120,120,109
2021-02-07,A,SO,26,26,18
2021-02-07,B,,31,31,31
2021-02-07,B,SO,16,16,16
2021-02-08,A,PE,29,29,28
2021-02-08,A,PR,133,133,122
2021-02-08,A,SO,45,45,33
2021-02-08,B,,63,63,63
2021-02-08,B,SO,10,10,10
2021-02-09,A,PE,27,27,25
2021-02-09,A,PR,105,105,98
2021-02-09,A,SO,32,32,24
2021-02-09,B,,69,69,69
2021-02-09,B,SO,13,13,13
2021-02-10,A,PE,39,39,31
2021-02-10,A,PR,133,133,117
2021-02-10,A,SO,44,44,33
2021-02-10,B,,55,55,55
2021-02-10,B,SO,12,12,12
2021-02-11,A,PE,21,21,20
2021-02-11,A,PR,109,109,102
2021-02-11,A,SO,51,51,34
2021-02-11,B,,43,43,43
2021-02-11,B,SO,17,17,16
2021-02-12,A,PE,47,47,39
2021-02-12,A,PR,144,144,136
2021-02-12,A,SO,49,49,34
2021-02-12,B,,64,64,64
2021-02-12,B,SO,11,11,11
2021-02-13,A,PE,34,34,33
2021-02-13,A,PR,116,116,111
2021-02-13,A,SO,29,29,22
2021-02-13,B,,34,34,34
2021-02-13,B,SO,21,21,21
2021-02-14,A,PE,38,38,36
2021-02-14,A,PR,112,112,106
2021-02-14,A,SO,27,27,21
2021-02-14,B,,40,40,40
2021-02-14,B,SO,10,10,10
2021-02-15,A,PE,35,35,33
2021-02-15,A,PR,142,142,137
2021-02-15,A,SO,36,36,27
2021-02-15,B,,46,46,46
2021-02-15,B,SO,11,11,11
2021-02-16,A,PE,26,26,25
2021-02-16,A,PR,138,138,131
2021-02-16,A,SO,31,31,24
2021-02-16,B,,52,52,52
2021-02-16,B,SO,8,8,8
2021-02-17,A,PE,28,28,27
2021-02-17,A,PR,128,128,120
2021-02-17,A,SO,37,37,26
2021-02-17,B,,50,50,50
2021-02-17,B,SO,4,4,4
2021-02-18,A,PE,38,38,33
2021-02-18,A,PR,117,117,110
2021-02-18,A,SO,44,44,33
2021-02-18,B,,66,66,66
2021-02-18,B,SO,10,10,10
2021-02-19,A,PE,30,30,29
2021-02-19,A,PR,125,125,117
2021-02-19,A,SO,24,24,21
2021-02-19,B,,53,53,53
2021-02-19,B,SO,19,19,19
2021-02-20,A,PE,36,36,29
2021-02-20,A,PR,128,128,120
2021-02-20,A,SO,20,20,17
2021-02-20,B,,55,55,55
2021-02-20,B,SO,20,20,20
2021-02-21,A,PE,28,28,26
