month,group_type,offense_code,offense_description,source_rows
2026-01,A,09A,Murder and Nonnegligent Manslaughter,2
2026-01,A,09B,Negligent Manslaughter,2
2026-01,A,100,Kidnapping/Abduction,17
2026-01,A,11A,Forcible Rape,29
2026-01,A,11B,Forcible Sodomy,4
2026-01,A,11C,Sexual Assault With an Object,3
2026-01,A,11D,Forcible Fondling,28
2026-01,A,120,Robbery,75
2026-01,A,13A,Aggravated Assault,329
2026-01,A,13B,Simple Assault,538
2026-01,A,13C,Intimidation,102
2026-01,A,200,Arson,13
2026-01,A,210,Extortion/Blackmail,2
2026-01,A,220,Burglary/Breaking & Entering,171
2026-01,A,23A,Pocket-Picking,5
2026-01,A,23B,Purse-Snatching,3
2026-01,A,23C,Shoplifting,368
2026-01,A,23D,Theft From Building,28
2026-01,A,23F,Theft From Motor Vehicle,290
2026-01,A,23G,Theft of Motor Vehicle Parts/Accessories,85
2026-01,A,23H,All Other Larceny,626
2026-01,A,240,Motor Vehicle Theft,283
2026-01,A,250,Counterfeiting/Forgery,9
2026-01,A,26A,False Pretenses/Swindle/Confidence Game,32
2026-01,A,26B,Credit Card/Automatic Teller Fraud,7
2026-01,A,26C,Impersonation,235
2026-01,A,26F,Identity Theft,18
2026-01,A,270,Embezzlement,13
2026-01,A,280,Stolen Property Offenses,36
2026-01,A,290,Destruction/Damage/Vandalism of Property,486
2026-01,A,35A,Drug/narcotic Violations,385
2026-01,A,35B,Drug Equipment Violations,265
2026-01,A,36B,Statutory Rape,4
2026-01,A,370,Pornography/Obscene Material,4
2026-01,A,39A,Betting/Wagering,1
2026-01,A,39C,Gambling Equipment Violations,1
2026-01,A,40A,Prostitution,5
2026-01,A,520,Weapon Law Violations,79
2026-01,A,64A,"Human trafficking, Commercial Sex Acts",48
2026-01,A,64B,"Human Trafficking, Involuntary Servitude",1
2026-01,A,720,Animal Cruelty,1
2026-01,B,90B,Curfew/Loitering/Vagrancy Violations,57
2026-01,B,90C,Disorderly Conduct,153
2026-01,B,90D,Driving Under the Influence,127
2026-01,B,90G,Liquor Law Violations,8
2026-01,B,90J,Trespass of Real Property,29
2026-01,B,90Z,All Other Offenses,1375
2026-02,A,09A,Murder and Nonnegligent Manslaughter,2
2026-02,A,100,Kidnapping/Abduction,15
2026-02,A,11A,Forcible Rape,20
2026-02,A,11B,Forcible Sodomy,3
2026-02,A,11D,Forcible Fondling,27
2026-02,A,120,Robbery,70
2026-02,A,13A,Aggravated Assault,302
2026-02,A,13B,Simple Assault,519
2026-02,A,13C,Intimidation,67
2026-02,A,200,Arson,8
2026-02,A,210,Extortion/Blackmail,7
2026-02,A,220,Burglary/Breaking & Entering,142
2026-02,A,23A,Pocket-Picking,3
2026-02,A,23B,Purse-Snatching,5
2026-02,A,23C,Shoplifting,375
2026-02,A,23D,Theft From Building,23
2026-02,A,23F,Theft From Motor Vehicle,280
2026-02,A,23G,Theft of Motor Vehicle Parts/Accessories,88
2026-02,A,23H,All Other Larceny,480
2026-02,A,240,Motor Vehicle Theft,298
2026-02,A,250,Counterfeiting/Forgery,10
2026-02,A,26A,False Pretenses/Swindle/Confidence Game,28
2026-02,A,26B,Credit Card/Automatic Teller Fraud,11
2026-02,A,26C,Impersonation,182
2026-02,A,26D,Welfare Fraud,1
2026-02,A,26F,Identity Theft,19
2026-02,A,26G,Hacking/Computer Fraud,1
2026-02,A,270,Embezzlement,10
2026-02,A,280,Stolen Property Offenses,36
2026-02,A,290,Destruction/Damage/Vandalism of Property,438
2026-02,A,35A,Drug/narcotic Violations,346
2026-02,A,35B,Drug Equipment Violations,233
2026-02,A,36B,Statutory Rape,3
2026-02,A,370,Pornography/Obscene Material,8
2026-02,A,39A,Betting/Wagering,1
2026-02,A,39C,Gambling Equipment Violations,1
2026-02,A,40A,Prostitution,5
2026-02,A,40B,Assisting or Promoting Prostitution,1
2026-02,A,520,Weapon Law Violations,63
2026-02,A,64A,"Human trafficking, Commercial Sex Acts",13
2026-02,A,64B,"Human Trafficking, Involuntary Servitude",1
2026-02,A,720,Animal Cruelty,5
2026-02,B,90B,Curfew/Loitering/Vagrancy Violations,34
2026-02,B,90C,Disorderly Conduct,163
2026-02,B,90D,Driving Under the Influence,119
2026-02,B,90G,Liquor Law Violations,9
2026-02,B,90H,Peeping Tom,2
2026-02,B,90J,Trespass of Real Property,28
2026-02,B,90Z,All Other Offenses,1229
2026-03,A,09A,Murder and Nonnegligent Manslaughter,5
2026-03,A,09B,Negligent Manslaughter,1
2026-03,A,100,Kidnapping/Abduction,18
2026-03,A,11A,Forcible Rape,23
2026-03,A,11B,Forcible Sodomy,3
2026-03,A,11C,Sexual Assault With an Object,2
2026-03,A,11D,Forcible Fondling,40
2026-03,A,120,Robbery,88
2026-03,A,13A,Aggravated Assault,404
2026-03,A,13B,Simple Assault,616
2026-03,A,13C,Intimidation,89
2026-03,A,200,Arson,16
2026-03,A,210,Extortion/Blackmail,7
2026-03,A,220,Burglary/Breaking & Entering,118
2026-03,A,23A,Pocket-Picking,2
2026-03,A,23B,Purse-Snatching,4
2026-03,A,23C,Shoplifting,531
2026-03,A,23D,Theft From Building,33
2026-03,A,23F,Theft From Motor Vehicle,309
2026-03,A,23G,Theft of Motor Vehicle Parts/Accessories,101
2026-03,A,23H,All Other Larceny,566
2026-03,A,240,Motor Vehicle Theft,292
2026-03,A,250,Counterfeiting/Forgery,12
2026-03,A,26A,False Pretenses/Swindle/Confidence Game,39
2026-03,A,26B,Credit Card/Automatic Teller Fraud,14
2026-03,A,26C,Impersonation,223
2026-03,A,26F,Identity Theft,32
2026-03,A,26G,Hacking/Computer Fraud,3
2026-03,A,270,Embezzlement,8
2026-03,A,280,Stolen Property Offenses,56
2026-03,A,290,Destruction/Damage/Vandalism of Property,541
2026-03,A,35A,Drug/narcotic Violations,415
2026-03,A,35B,Drug Equipment Violations,272
2026-03,A,36B,Statutory Rape,2
2026-03,A,370,Pornography/Obscene Material,3
2026-03,A,39A,Betting/Wagering,1
2026-03,A,40A,Prostitution,2
2026-03,A,520,Weapon Law Violations,87
2026-03,A,64A,"Human trafficking, Commercial Sex Acts",9
2026-03,B,90B,Curfew/Loitering/Vagrancy Violations,39
