station,name,baseline_start,baseline_end,season,valid_tmax_days,expected_days,coverage_fraction,years_with_90pct_coverage,eligible_90pct_days_25years,tmax_p90_f,tmax_p95_f,quantile_method,interpretation
USC00040136,ALPINE,1991-01-01,2020-12-31,May-September,3827,4590,0.8337690631808279,15,False,,,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00040983,BORREGO DESERT PARK,1991-01-01,2020-12-31,May-September,4561,4590,0.9936819172113289,30,True,111.02,113.0,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00041424,CAMPO,1991-01-01,2020-12-31,May-September,4395,4590,0.9575163398692811,27,True,100.04,102.02,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00041758,CHULA VISTA,1991-01-01,2020-12-31,May-September,4011,4590,0.8738562091503268,21,False,,,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00042239,CUYAMACA,1991-01-01,2020-12-31,May-September,4519,4590,0.9845315904139433,28,True,89.96,91.94,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00042706,EL CAJON,1991-01-01,2020-12-31,May-September,3917,4590,0.8533769063180828,18,False,,,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00042863,ESCONDIDO #2,1991-01-01,2020-12-31,May-September,3751,4590,0.8172113289760349,22,False,,,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00043914,HENSHAW DAM,1991-01-01,2020-12-31,May-September,4464,4590,0.9725490196078431,27,True,98.96,100.94,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00044412,JULIAN CDF,1991-01-01,2020-12-31,May-September,3717,4590,0.8098039215686275,17,False,,,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00045968,MT LAGUNA #3,1991-01-01,2020-12-31,May-September,2290,4590,0.4989106753812636,9,False,,,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00046377,OCEANSIDE MARINA,1991-01-01,2020-12-31,May-September,4197,4590,0.9143790849673202,21,False,,,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00046386,OCOTILLO WELLS 2W,1991-01-01,2020-12-31,May-September,2314,4590,0.5041394335511983,12,False,,,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00046657,PALOMAR MTN OBSY,1991-01-01,2020-12-31,May-September,4330,4590,0.9433551198257081,25,True,87.98,89.96,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00047248,RANCHO BERNARDO,1991-01-01,2020-12-31,May-September,1530,4590,0.3333333333333333,10,False,,,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00047741,SAN DIEGO SEAWORLD,1991-01-01,2020-12-31,May-September,2740,4590,0.5969498910675382,15,False,,,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00049226,VALLEY CTR 1N,1991-01-01,2020-12-31,May-September,609,4590,0.1326797385620915,4,False,,,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USC00049378,VISTA,1991-01-01,2020-12-31,May-September,4289,4590,0.9344226579520697,22,False,,,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
USW00000369,MCOLF CAMP PENDLETON RED BEACH,1991-01-01,2020-12-31,May-September,329,4590,0.07167755991285403,0,False,,,linear (type 7),station-specific warm-season threshold; not a calendar-day percentile or official warning criterion
