station,date,temp_high_f,baseline_p90_f,baseline_p95_f,exceeds_p90,three_consecutive_days_p90,exceeds_p95,three_consecutive_days_p95
USC00040983,2021-01-01,68.0,111.02,113.0,,,,
USC00040983,2021-01-02,68.0,111.02,113.0,,,,
USC00040983,2021-01-03,66.92,111.02,113.0,,,,
USC00040983,2021-01-04,69.98,111.02,113.0,,,,
USC00040983,2021-01-05,73.04,111.02,113.0,,,,
USC00040983,2021-01-06,71.96,111.02,113.0,,,,
USC00040983,2021-01-07,73.94,111.02,113.0,,,,
USC00040983,2021-01-08,73.04,111.02,113.0,,,,
USC00040983,2021-01-09,71.06,111.02,113.0,,,,
USC00040983,2021-01-10,66.92,111.02,113.0,,,,
USC00040983,2021-01-11,68.0,111.02,113.0,,,,
USC00040983,2021-01-12,69.08,111.02,113.0,,,,
USC00040983,2021-01-13,73.04,111.02,113.0,,,,
USC00040983,2021-01-14,82.04,111.02,113.0,,,,
USC00040983,2021-01-15,82.04,111.02,113.0,,,,
USC00040983,2021-01-16,84.92,111.02,113.0,,,,
USC00040983,2021-01-17,80.96,111.02,113.0,,,,
USC00040983,2021-01-18,78.98,111.02,113.0,,,,
USC00040983,2021-01-19,77.0,111.02,113.0,,,,
USC00040983,2021-01-20,64.94,111.02,113.0,,,,
USC00040983,2021-01-21,71.96,111.02,113.0,,,,
USC00040983,2021-01-22,69.08,111.02,113.0,,,,
USC00040983,2021-01-23,62.96,111.02,113.0,,,,
USC00040983,2021-01-24,60.98,111.02,113.0,,,,
USC00040983,2021-01-25,55.94,111.02,113.0,,,,
USC00040983,2021-01-26,57.02,111.02,113.0,,,,
USC00040983,2021-01-27,57.92,111.02,113.0,,,,
USC00040983,2021-01-28,64.04,111.02,113.0,,,,
USC00040983,2021-01-29,62.06,111.02,113.0,,,,
USC00040983,2021-01-30,64.04,111.02,113.0,,,,
USC00040983,2021-01-31,66.92,111.02,113.0,,,,
USC00040983,2021-02-01,69.98,111.02,113.0,,,,
USC00040983,2021-02-02,78.98,111.02,113.0,,,,
USC00040983,2021-02-03,80.06,111.02,113.0,,,,
USC00040983,2021-02-04,73.04,111.02,113.0,,,,
USC00040983,2021-02-05,77.0,111.02,113.0,,,,
USC00040983,2021-02-06,77.0,111.02,113.0,,,,
USC00040983,2021-02-07,78.08,111.02,113.0,,,,
USC00040983,2021-02-08,77.0,111.02,113.0,,,,
USC00040983,2021-02-09,71.96,111.02,113.0,,,,
USC00040983,2021-02-10,75.02,111.02,113.0,,,,
USC00040983,2021-02-11,80.06,111.02,113.0,,,,
USC00040983,2021-02-12,78.08,111.02,113.0,,,,
USC00040983,2021-02-13,71.96,111.02,113.0,,,,
USC00040983,2021-02-14,69.98,111.02,113.0,,,,
USC00040983,2021-02-15,66.92,111.02,113.0,,,,
USC00040983,2021-02-16,73.04,111.02,113.0,,,,
USC00040983,2021-02-17,69.08,111.02,113.0,,,,
USC00040983,2021-02-18,66.92,111.02,113.0,,,,
USC00040983,2021-02-19,71.96,111.02,113.0,,,,
USC00040983,2021-02-20,77.0,111.02,113.0,,,,
USC00040983,2021-02-21,71.96,111.02,113.0,,,,
USC00040983,2021-02-22,75.92,111.02,113.0,,,,
USC00040983,2021-02-23,80.96,111.02,113.0,,,,
USC00040983,2021-02-24,84.02,111.02,113.0,,,,
USC00040983,2021-02-25,80.06,111.02,113.0,,,,
USC00040983,2021-02-26,75.02,111.02,113.0,,,,
USC00040983,2021-02-27,73.94,111.02,113.0,,,,
USC00040983,2021-02-28,,111.02,113.0,,,,
USC00040983,2021-03-01,68.0,111.02,113.0,,,,
USC00040983,2021-03-02,75.02,111.02,113.0,,,,
USC00040983,2021-03-03,71.96,111.02,113.0,,,,
USC00040983,2021-03-04,71.06,111.02,113.0,,,,
USC00040983,2021-03-05,78.98,111.02,113.0,,,,
USC00040983,2021-03-06,84.02,111.02,113.0,,,,
USC00040983,2021-03-07,80.96,111.02,113.0,,,,
USC00040983,2021-03-08,78.08,111.02,113.0,,,,
USC00040983,2021-03-09,69.08,111.02,113.0,,,,
