station,icao,date,day_hours,valid_hourly_samples,complete_civil_day,whole_degree_awos_C_samples,temp_high_f,temp_mean_f,temp_low_f,available_sample_high_f,available_sample_mean_f,available_sample_low_f,all_valid_reports_high_f,all_valid_reports_low_f,utc_start,utc_end
722900-23188,KSAN,2021-01-01,24,24,True,0,69.08,55.565,46.04,69.08,55.565,46.04,69.08,44.96,2021-01-01T08:00:00+00:00,2021-01-02T08:00:00+00:00
722900-23188,KSAN,2021-01-02,24,24,True,0,64.94,55.0775,46.04,64.94,55.0775,46.04,64.94,46.04,2021-01-02T08:00:00+00:00,2021-01-03T08:00:00+00:00
722900-23188,KSAN,2021-01-03,24,24,True,0,62.96,54.965,46.04,62.96,54.965,46.04,62.96,46.04,2021-01-03T08:00:00+00:00,2021-01-04T08:00:00+00:00
722900-23188,KSAN,2021-01-04,24,24,True,0,64.04,55.355,46.4,64.04,55.355,46.4,64.04,46.4,2021-01-04T08:00:00+00:00,2021-01-05T08:00:00+00:00
722900-23188,KSAN,2021-01-05,24,24,True,0,60.8,54.8225,50.0,60.8,54.8225,50.0,60.8,50.0,2021-01-05T08:00:00+00:00,2021-01-06T08:00:00+00:00
722900-23188,KSAN,2021-01-06,24,24,True,0,60.98,54.98,48.92,60.98,54.98,48.92,60.98,48.92,2021-01-06T08:00:00+00:00,2021-01-07T08:00:00+00:00
722900-23188,KSAN,2021-01-07,24,24,True,0,66.02,55.67,46.04,66.02,55.67,46.04,66.02,46.04,2021-01-07T08:00:00+00:00,2021-01-08T08:00:00+00:00
722900-23188,KSAN,2021-01-08,24,24,True,0,66.92,54.3725,48.92,66.92,54.3725,48.92,66.92,48.02,2021-01-08T08:00:00+00:00,2021-01-09T08:00:00+00:00
722900-23188,KSAN,2021-01-09,24,24,True,0,66.92,54.0125,42.98,66.92,54.0125,42.98,66.92,42.98,2021-01-09T08:00:00+00:00,2021-01-10T08:00:00+00:00
722900-23188,KSAN,2021-01-10,24,24,True,0,73.04,56.4125,44.06,73.04,56.4125,44.06,73.04,44.06,2021-01-10T08:00:00+00:00,2021-01-11T08:00:00+00:00
722900-23188,KSAN,2021-01-11,24,24,True,0,69.08,56.525,44.96,69.08,56.525,44.96,69.08,44.96,2021-01-11T08:00:00+00:00,2021-01-12T08:00:00+00:00
722900-23188,KSAN,2021-01-12,24,24,True,0,71.96,57.425,46.04,71.96,57.425,46.04,71.96,46.04,2021-01-12T08:00:00+00:00,2021-01-13T08:00:00+00:00
