station,icao,name,latitude,longitude,elevation_m,calendar_days,complete_civil_days,days_at_least_90pct_hours,valid_hourly_samples,expected_hours
722900-23188,KSAN,SAN DIEGO INTERNATIONAL AIRPORT,32.734,-117.183,4.6,1461,1442,1455,35016,35064
722903-03131,KMYF,MONTGOMERY FIELD AIRPORT,32.815,-117.137,127.5,1461,1398,1450,34882,35064
722904-03178,KSDM,BROWN FIELD MUNICIPAL ARPT,32.576,-116.994,158.9,1461,1351,1436,34805,35064
722906-93112,KNZY,NORTH ISLAND NAS,32.692,-117.21,4.4,1461,1347,1405,34555,35064
722907-53143,KSEE,GILLESPIE FIELD AIRPORT,32.826,-116.973,118.0,1461,1095,1401,34362,35064
722909-93115,KNRS,NAVAL AUXILIARY LANDING FD,32.568,-117.117,7.2,1461,746,810,26778,35064
722926-03154,KNFG,MARINE CORPS AIR STATION,33.304,-117.355,21.4,1461,767,1065,30562,35064
722927-03177,KCRQ,MCCLELLAN-PALOMAR AIRPORT,33.13,-117.277,95.3,1461,1414,1434,34499,35064
722928-00369,KNXF,MCOLF CAMP PENDLETON RED BEACH AIRPORT,33.286,-117.456,27.1,1461,277,372,11554,35064
722931-93107,KNKX,MARINE CORPS AIR STATION,32.867,-117.133,145.4,1461,1021,1281,33558,35064
722934-53121,KOKB,OCEANSIDE MUNICIPAL ARPT,33.219,-117.35,9.1,1461,1284,1436,34763,35064
745056-53120,KRNM,RAMONA AIRPORT,33.038,-116.916,422.0,1461,1093,1388,34240,35064
